ID,S,st,r,ar,ma,v,ls,fl,slday,fm,Return,Ann.Ret,MaxDD,Calmar,Sharpe,Volatility,WinRate,Trades,AvgHoldDays,Turnover,Y2023,Y2024,Y2025,Y2026
round2_fine_tuning_S0-8_rT-.6_vT-5-.8,"[0, 8]",-,0.6,✓,-,0.8,✓,✓,✓,F/F/T,176.2%,39.6%,32.1%,1.23,1.10,32.4%,51.9%,403,5.2,0.55,-22.6%,-2.4%,174.7%,33.0%
round2_fine_tuning_S0-4_rT-.4_vF-5-1,"[0, 4]",-,0.4,✓,-,-,✓,✓,✓,F/F/T,250.0%,50.9%,31.9%,1.60,1.45,32.3%,53.0%,368,5.1,0.52,11.8%,4.9%,145.5%,21.6%
round2_fine_tuning_S0-6_rT-.4_vT-5-.8,"[0, 6]",-,0.4,✓,-,0.8,✓,✓,✓,F/F/T,259.9%,52.3%,26.4%,1.98,1.46,33.1%,52.9%,414,5.4,0.57,-1.5%,34.9%,107.5%,30.5%
round2_fine_tuning_S0-8_rT-.5_vT-5-2,"[0, 8]",-,0.5,✓,-,2,✓,✓,✓,F/F/T,265.3%,53.0%,30.4%,1.74,1.43,34.3%,51.8%,305,5.7,0.44,-6.1%,8.7%,166.4%,34.4%
round2_fine_tuning_S0-5_rT-.6_vF-5-1,"[0, 5]",-,0.6,✓,-,-,✓,✓,✓,F/F/T,298.8%,57.5%,37.9%,1.52,1.68,31.9%,48.8%,334,5.2,0.48,-3.5%,44.0%,121.8%,29.3%
round2_fine_tuning_S0-5_rT-.6_vT-5-2,"[0, 5]",-,0.6,✓,-,2,✓,✓,✓,F/F/T,373.6%,66.7%,30.7%,2.18,2.01,31.2%,48.7%,339,5.2,0.49,-3.5%,68.9%,126.0%,28.5%
round2_fine_tuning_S0-5_rT-.5_vF-5-1,"[0, 5]",-,0.5,✓,-,-,✓,✓,✓,F/F/T,331.9%,61.7%,34.9%,1.77,1.77,32.5%,49.9%,337,5.2,0.48,12.8%,25.8%,130.4%,32.1%
round2_fine_tuning_S0-8_rT-.4_vT-5-1.5,"[0, 8]",-,0.4,✓,-,1.5,✓,✓,✓,F/F/T,268.9%,53.6%,31.2%,1.72,1.43,34.6%,52.4%,311,5.8,0.44,-0.7%,6.2%,160.3%,34.3%
round2_fine_tuning_S0-4_rT-.5_vT-5-1.2,"[0, 4]",-,0.5,✓,-,1.2,✓,✓,✓,F/F/T,332.9%,61.8%,27.2%,2.28,1.89,30.7%,52.9%,393,5.0,0.56,6.7%,20.6%,181.7%,19.4%
round2_fine_tuning_S0-8_rT-.3_vF-5-1,"[0, 8]",-,0.3,✓,-,-,✓,✓,✓,F/F/T,249.5%,50.8%,33.7%,1.51,1.32,35.6%,52.0%,300,5.8,0.42,0.4%,-9.7%,161.5%,47.3%
round2_fine_tuning_S0-4_rF-.4_vT-5-1,"[0, 4]",-,-,✓,-,1,✓,✓,✓,F/F/T,272.3%,54.0%,26.6%,2.03,1.62,30.9%,53.1%,418,5.1,0.58,13.8%,17.5%,138.4%,16.8%
round2_fine_tuning_S0-5_rT-.5_vT-5-2,"[0, 5]",-,0.5,✓,-,2,✓,✓,✓,F/F/T,417.9%,71.6%,27.3%,2.63,2.12,31.9%,50.0%,342,5.2,0.49,12.8%,48.0%,136.4%,31.2%
round2_fine_tuning_S0-4_rT-.5_vF-5-1,"[0, 4]",-,0.5,✓,-,-,✓,✓,✓,F/F/T,245.5%,50.3%,34.7%,1.45,1.45,31.8%,52.3%,369,5.0,0.52,5.7%,4.3%,157.8%,21.6%
round2_fine_tuning_S0-4_rT-.3_vT-5-.8,"[0, 4]",-,0.3,✓,-,0.8,✓,✓,✓,F/F/T,230.4%,48.1%,26.4%,1.82,1.41,31.3%,53.3%,454,5.0,0.62,8.9%,2.3%,172.6%,8.8%
round2_fine_tuning_S0-5_rT-.5_vT-5-1,"[0, 5]",-,0.5,✓,-,1,✓,✓,✓,F/F/T,391.4%,68.7%,28.0%,2.45,2.08,31.0%,50.8%,384,5.3,0.54,11.3%,37.0%,148.4%,29.7%
round2_fine_tuning_S0-10_rF-.4_vT-5-1.5,"[0, 10]",-,-,✓,-,1.5,✓,✓,✓,F/F/T,228.6%,47.8%,28.9%,1.65,1.22,35.9%,49.5%,307,5.7,0.44,4.1%,8.0%,132.0%,26.0%
round2_fine_tuning_S0-8_rT-.4_vT-5-1.2,"[0, 8]",-,0.4,✓,-,1.2,✓,✓,✓,F/F/T,256.9%,51.9%,34.4%,1.51,1.42,33.8%,52.4%,328,5.7,0.46,-6.6%,0.6%,175.3%,38.1%
round2_fine_tuning_S0-4_rT-.4_vT-5-.8,"[0, 4]",-,0.4,✓,-,0.8,✓,✓,✓,F/F/T,258.1%,52.1%,26.4%,1.97,1.55,31.0%,53.7%,454,5.0,0.63,8.5%,11.3%,172.6%,8.8%
round2_fine_tuning_S0-10_rT-.4_vT-5-1.2,"[0, 10]",-,0.4,✓,-,1.2,✓,✓,✓,F/F/T,251.5%,51.1%,30.2%,1.69,1.35,34.9%,51.4%,329,5.5,0.47,-3.4%,10.8%,156.5%,27.9%
round2_fine_tuning_S0-6_rT-.6_vT-5-1.2,"[0, 6]",-,0.6,✓,-,1.2,✓,✓,✓,F/F/T,211.3%,45.2%,31.4%,1.44,1.29,32.1%,47.2%,343,5.3,0.49,-19.9%,67.4%,87.8%,23.7%
round2_fine_tuning_S0-5_rT-.4_vT-5-1.2,"[0, 5]",-,0.4,✓,-,1.2,✓,✓,✓,F/F/T,534.6%,83.5%,25.0%,3.34,2.51,31.6%,51.4%,360,5.3,0.52,23.6%,55.5%,151.5%,31.2%
round2_fine_tuning_S0-5_rF-.4_vT-5-1.2,"[0, 5]",-,-,✓,-,1.2,✓,✓,✓,F/F/T,451.4%,75.2%,25.0%,3.01,2.20,32.4%,50.6%,362,5.3,0.52,25.0%,39.4%,141.0%,31.2%
round2_fine_tuning_S0-4_rT-.6_vT-5-1.5,"[0, 4]",-,0.6,✓,-,1.5,✓,✓,✓,F/F/T,245.1%,50.2%,30.4%,1.65,1.55,29.7%,51.3%,376,5.0,0.54,-7.8%,41.7%,126.0%,16.9%
round2_fine_tuning_S0-10_rT-.3_vT-5-1.5,"[0, 10]",-,0.3,✓,-,1.5,✓,✓,✓,F/F/T,244.5%,50.1%,28.9%,1.73,1.29,35.8%,49.8%,305,5.7,0.44,4.1%,13.2%,132.0%,26.0%
round2_fine_tuning_S0-8_rT-.3_vT-5-1,"[0, 8]",-,0.3,✓,-,1,✓,✓,✓,F/F/T,228.4%,47.8%,37.5%,1.28,1.31,33.4%,52.8%,354,5.7,0.49,-5.4%,-0.1%,161.8%,32.8%
round2c_Ashare_fmF-F-T_vF-5-1,"[0, 5]",-,0.4,✓,-,-,✓,✓,✓,F/F/T,342.4%,63.0%,32.1%,1.96,1.77,33.3%,50.3%,336,5.3,0.48,19.4%,26.3%,122.3%,32.1%
round2c_Ashare_fmF-F-T_vT-5-1,"[0, 5]",-,0.4,✓,-,1,✓,✓,✓,F/F/T,480.3%,78.2%,25.0%,3.13,2.36,31.4%,51.4%,383,5.4,0.55,19.5%,51.6%,147.0%,29.7%
round2c_Ashare_fmT-F-T_vF-5-1,"[0, 5]",-,0.4,✓,-,-,✓,✓,✓,T/F/T,252.0%,51.2%,22.7%,2.26,1.60,29.6%,52.2%,230,12.3,0.33,7.8%,31.8%,93.5%,28.0%
round2c_Ashare_fmT-F-T_vT-5-.8,"[0, 5]",-,0.4,✓,-,0.8,✓,✓,✓,T/F/T,233.9%,48.6%,26.3%,1.85,1.60,27.8%,52.7%,313,11.9,0.44,-8.8%,40.8%,118.2%,19.2%
round2c_Ashare_fmT-F-T_vT-5-1,"[0, 5]",-,0.4,✓,-,1,✓,✓,✓,T/F/T,306.5%,58.5%,21.1%,2.78,1.95,28.0%,51.8%,274,12.3,0.39,-4.1%,65.0%,101.7%,27.4%
round2c_Ashare_fmT-F-T_vT-5-1.2,"[0, 5]",-,0.4,✓,-,1.2,✓,✓,✓,T/F/T,360.2%,65.1%,19.2%,3.40,2.15,28.5%,51.8%,255,12.1,0.38,4.9%,74.8%,97.1%,27.4%
round2c_Ashare_fmT-F-T_vT-5-1.5,"[0, 5]",-,0.4,✓,-,1.5,✓,✓,✓,T/F/T,279.5%,55.0%,20.5%,2.69,1.76,28.9%,52.0%,246,12.1,0.36,7.8%,42.6%,91.6%,28.8%
round2c_Ashare_fmT-F-T_vT-5-2,"[0, 5]",-,0.4,✓,-,2,✓,✓,✓,T/F/T,296.8%,57.3%,19.9%,2.88,1.86,28.7%,51.5%,241,12.1,0.35,7.8%,42.6%,101.7%,28.0%
round2c_Ashare_fmF-T-T_vF-5-1,"[0, 5]",-,0.4,✓,-,-,✓,✓,✓,F/T/T,294.5%,57.0%,26.1%,2.19,1.66,32.0%,51.5%,338,5.7,0.47,22.5%,7.4%,132.0%,29.2%
round2c_Ashare_fmF-T-T_vT-5-.8,"[0, 5]",-,0.4,✓,-,0.8,✓,✓,✓,F/T/T,289.7%,56.3%,29.3%,1.92,1.66,31.5%,52.7%,427,5.8,0.58,5.6%,5.5%,154.0%,37.7%
round2c_Ashare_fmF-T-T_vT-5-1,"[0, 5]",-,0.4,✓,-,1,✓,✓,✓,F/T/T,347.5%,63.6%,26.2%,2.43,1.96,30.4%,53.5%,385,5.8,0.54,20.5%,12.8%,159.5%,26.9%
round2c_Ashare_fmF-T-T_vT-5-1.2,"[0, 5]",-,0.4,✓,-,1.2,✓,✓,✓,F/T/T,403.9%,70.1%,25.3%,2.77,2.16,30.6%,53.2%,365,5.8,0.51,24.7%,13.6%,177.1%,28.3%
round2c_Ashare_fmF-T-T_vT-5-1.5,"[0, 5]",-,0.4,✓,-,1.5,✓,✓,✓,F/T/T,383.8%,67.8%,26.1%,2.60,2.02,31.6%,52.4%,351,5.8,0.50,22.5%,23.2%,149.6%,28.3%
round2c_Ashare_fmF-T-T_vT-5-2,"[0, 5]",-,0.4,✓,-,2,✓,✓,✓,F/T/T,343.1%,63.1%,26.1%,2.42,1.87,31.6%,52.0%,342,5.7,0.48,22.5%,18.1%,138.5%,28.3%
round2b_fine_tuning_S0-8_rT-.3_vT-5-1,"[0, 8]",-,0.3,-,-,1,✓,✓,✓,F/F/T,224.6%,47.2%,39.3%,1.20,1.28,33.7%,52.4%,357,5.6,0.49,-2.4%,-4.7%,162.6%,32.8%
round2b_fine_tuning_S0-5_rT-.5_vT-5-.8,"[0, 5]",-,0.5,-,-,0.8,✓,✓,✓,F/F/T,275.3%,54.4%,31.2%,1.74,1.57,32.0%,50.7%,434,5.2,0.59,-3.7%,25.5%,136.9%,31.2%
round2b_fine_tuning_S0-4_rT-.5_vF-5-1,"[0, 4]",-,0.5,-,-,-,✓,✓,✓,F/F/T,229.7%,48.0%,35.2%,1.36,1.37,32.1%,52.0%,371,4.9,0.52,4.5%,1.1%,156.7%,21.6%
round2b_fine_tuning_S0-8_rT-.5_vF-5-1,"[0, 8]",-,0.5,-,-,-,✓,✓,✓,F/F/T,227.1%,47.6%,38.5%,1.24,1.23,35.4%,51.3%,306,5.7,0.43,-7.2%,-10.9%,168.2%,47.3%
round2b_fine_tuning_S0-5_rT-.5_vT-5-2,"[0, 5]",-,0.5,-,-,2,✓,✓,✓,F/F/T,392.6%,68.8%,27.8%,2.48,2.02,32.1%,49.4%,344,5.2,0.49,11.6%,42.9%,135.5%,31.2%
round2b_fine_tuning_S0-5_rT-.6_vT-5-1,"[0, 5]",-,0.6,-,-,1,✓,✓,✓,F/F/T,395.2%,69.1%,33.6%,2.06,2.14,30.5%,49.5%,392,5.1,0.55,-0.7%,63.7%,137.0%,28.6%
round2b_fine_tuning_S0-10_rF-.4_vT-5-1,"[0, 10]",-,-,-,-,1,✓,✓,✓,F/F/T,237.8%,49.2%,33.6%,1.46,1.29,35.0%,51.1%,362,5.4,0.51,-4.2%,0.5%,163.1%,33.4%
round2b_fine_tuning_S0-10_rF-.4_vT-5-1.2,"[0, 10]",-,-,-,-,1.2,✓,✓,✓,F/F/T,202.3%,43.8%,31.6%,1.39,1.13,35.4%,49.4%,334,5.5,0.47,-3.4%,0.9%,142.4%,27.9%
round2b_fine_tuning_S0-10_rT-.4_vT-5-1,"[0, 10]",-,0.4,-,-,1,✓,✓,✓,F/F/T,260.6%,52.4%,36.0%,1.46,1.40,34.7%,52.2%,362,5.4,0.51,0.9%,-3.1%,176.5%,33.4%
round2b_fine_tuning_S0-10_rT-.5_vT-5-1.5,"[0, 10]",-,0.5,-,-,1.5,✓,✓,✓,F/F/T,218.8%,46.4%,29.0%,1.60,1.19,35.6%,49.5%,313,5.5,0.45,-4.0%,10.8%,138.0%,26.0%
round2b_fine_tuning_S0-6_rT-.3_vT-5-1,"[0, 6]",-,0.3,-,-,1,✓,✓,✓,F/F/T,220.5%,46.6%,28.1%,1.66,1.29,33.0%,50.0%,378,5.2,0.53,5.7%,32.4%,86.6%,22.8%
round2b_fine_tuning_S0-4_rF-.4_vT-5-1.5,"[0, 4]",-,-,-,-,1.5,✓,✓,✓,F/F/T,307.8%,58.7%,28.6%,2.06,1.71,31.9%,52.4%,382,5.0,0.55,11.1%,18.1%,160.4%,19.4%
round2b_fine_tuning_S0-4_rF-.4_vF-5-1,"[0, 4]",-,-,-,-,-,✓,✓,✓,F/F/T,221.3%,46.7%,32.4%,1.44,1.31,32.6%,51.4%,370,5.1,0.52,11.4%,-3.6%,146.2%,21.6%
round2b_fine_tuning_S0-8_rF-.4_vT-5-.8,"[0, 8]",-,-,-,-,0.8,✓,✓,✓,F/F/T,140.1%,33.3%,46.8%,0.71,0.85,34.6%,51.3%,413,5.1,0.55,-17.0%,-24.9%,184.2%,35.5%
round2b_fine_tuning_S0-4_rT-.3_vT-5-1,"[0, 4]",-,0.3,-,-,1,✓,✓,✓,F/F/T,283.2%,55.5%,27.5%,2.02,1.65,31.1%,53.1%,420,5.1,0.59,17.5%,21.0%,130.9%,16.8%
round2b_fine_tuning_S0-10_rT-.4_vT-5-.8,"[0, 10]",-,0.4,-,-,0.8,✓,✓,✓,F/F/T,137.2%,32.8%,45.3%,0.72,0.82,35.1%,50.1%,413,5.0,0.56,-22.1%,-23.4%,214.2%,26.5%
round2b_fine_tuning_S0-4_rT-.3_vT-5-1.2,"[0, 4]",-,0.3,-,-,1.2,✓,✓,✓,F/F/T,291.7%,56.6%,28.3%,2.00,1.67,31.6%,52.8%,396,5.0,0.56,18.2%,11.9%,148.1%,19.4%
round2b_fine_tuning_S0-8_rT-.6_vT-5-1.2,"[0, 8]",-,0.6,-,-,1.2,✓,✓,✓,F/F/T,181.9%,40.6%,36.3%,1.12,1.12,32.8%,48.0%,333,5.5,0.46,-26.5%,3.0%,175.7%,35.1%
round2b_fine_tuning_S0-10_rF-.4_vT-5-1.5,"[0, 10]",-,-,-,-,1.5,✓,✓,✓,F/F/T,203.2%,44.0%,30.5%,1.44,1.11,36.1%,48.2%,309,5.6,0.44,2.3%,1.7%,131.2%,26.0%
round2b_fine_tuning_S0-4_rT-.3_vT-5-1.5,"[0, 4]",-,0.3,-,-,1.5,✓,✓,✓,F/F/T,322.3%,60.5%,28.3%,2.14,1.78,31.8%,53.0%,381,5.0,0.55,14.7%,18.4%,160.4%,19.4%
round2b_fine_tuning_S0-5_rT-.4_vT-5-2,"[0, 5]",-,0.4,-,-,2,✓,✓,✓,F/F/T,463.6%,76.5%,27.0%,2.83,2.22,32.6%,49.9%,343,5.2,0.50,21.4%,54.6%,128.8%,31.2%
round2b_fine_tuning_S0-4_rT-.6_vT-5-1.2,"[0, 4]",-,0.6,-,-,1.2,✓,✓,✓,F/F/T,227.7%,47.7%,33.7%,1.41,1.49,29.4%,49.5%,394,5.0,0.56,-8.1%,29.1%,136.3%,16.9%
round2b_fine_tuning_S0-10_rF-.4_vT-5-2,"[0, 10]",-,-,-,-,2,✓,✓,✓,F/F/T,184.6%,41.0%,31.4%,1.31,1.03,35.9%,47.5%,297,5.7,0.42,2.6%,0.4%,123.7%,23.5%
round2b_fine_tuning_S0-4_rF-.4_vT-5-2,"[0, 4]",-,-,-,-,2,✓,✓,✓,F/F/T,291.3%,56.5%,28.6%,1.98,1.64,32.0%,51.6%,374,5.1,0.54,11.4%,17.1%,146.8%,21.6%
round2b_fine_tuning_S0-6_rT-.6_vT-5-1.5,"[0, 6]",-,0.6,-,-,1.5,✓,✓,✓,F/F/T,192.3%,42.2%,34.7%,1.22,1.16,33.0%,45.6%,338,5.3,0.48,-22.6%,69.9%,81.6%,22.3%
round2b_fine_tuning_S0-8_rT-.4_vT-5-.8,"[0, 8]",-,0.4,-,-,0.8,✓,✓,✓,F/F/T,172.2%,39.0%,40.2%,0.97,1.02,34.2%,51.3%,413,5.0,0.56,-14.6%,-18.8%,189.8%,35.5%
round2b_fine_tuning_S0-8_rF-.4_vT-5-1.5,"[0, 8]",-,-,-,-,1.5,✓,✓,✓,F/F/T,233.5%,48.5%,36.1%,1.34,1.27,35.0%,50.5%,313,5.8,0.44,-1.3%,-4.0%,162.0%,34.3%
round2b_fine_tuning_S0-5_rF-.4_vT-5-1,"[0, 5]",-,-,-,-,1,✓,✓,✓,F/F/T,386.2%,68.1%,28.1%,2.42,2.00,32.0%,49.7%,390,5.3,0.55,18.2%,40.5%,125.8%,29.7%
round2b_fine_tuning_S0-4_rT-.4_vT-5-1.2,"[0, 4]",-,0.4,-,-,1.2,✓,✓,✓,F/F/T,309.6%,58.9%,28.6%,2.06,1.76,31.3%,52.8%,398,5.0,0.56,17.9%,11.4%,161.2%,19.4%
round2b_fine_tuning_S0-8_rT-.6_vT-5-2,"[0, 8]",-,0.6,-,-,2,✓,✓,✓,F/F/T,173.3%,39.1%,34.7%,1.13,1.05,33.4%,47.7%,306,5.7,0.43,-22.1%,5.3%,153.1%,31.5%
round2b_fine_tuning_S0-4_rT-.5_vT-5-.8,"[0, 4]",-,0.5,-,-,0.8,✓,✓,✓,F/F/T,188.2%,41.6%,32.2%,1.29,1.22,30.9%,52.2%,462,4.9,0.63,-1.5%,-2.5%,164.1%,13.5%
round2b_fine_tuning_S0-5_rT-.3_vT-5-1.5,"[0, 5]",-,0.3,-,-,1.5,✓,✓,✓,F/F/T,431.0%,73.1%,28.9%,2.53,2.12,32.6%,49.4%,350,5.4,0.50,22.5%,40.7%,134.8%,31.2%
round2b_fine_tuning_S0-10_rT-.6_vT-5-1.2,"[0, 10]",-,0.6,-,-,1.2,✓,✓,✓,F/F/T,197.6%,43.1%,34.6%,1.25,1.14,34.2%,47.6%,338,5.4,0.48,-23.9%,26.3%,147.2%,25.3%
round2b_fine_tuning_S0-4_rT-.5_vT-5-1,"[0, 4]",-,0.5,-,-,1,✓,✓,✓,F/F/T,254.8%,51.6%,28.0%,1.84,1.56,30.6%,52.7%,423,5.0,0.59,4.2%,19.1%,144.9%,16.8%
round2b_fine_tuning_S0-6_rT-.6_vF-5-1,"[0, 6]",-,0.6,-,-,-,✓,✓,✓,F/F/T,121.0%,29.8%,41.4%,0.72,0.78,33.2%,45.4%,326,5.4,0.46,-22.3%,43.9%,60.6%,23.1%
round2b_fine_tuning_S0-10_rT-.4_vT-5-2,"[0, 10]",-,0.4,-,-,2,✓,✓,✓,F/F/T,199.7%,43.4%,29.3%,1.48,1.10,35.8%,48.7%,298,5.6,0.43,4.8%,3.5%,123.8%,23.5%
round2b_fine_tuning_S0-6_rT-.6_vT-5-1.2,"[0, 6]",-,0.6,-,-,1.2,✓,✓,✓,F/F/T,206.8%,44.5%,34.9%,1.28,1.25,32.3%,45.9%,351,5.2,0.50,-21.8%,69.2%,87.5%,23.7%